"Data Analyst, Center on Immigration and Justice (CIJ)",$37K-$66K (Glassdoor est.),3.2,"Vera Institute of Justice
3.2","New York, NY","New York, NY",201 to 500 employees,Social Assistance,Non-Profit,$100 to $500 million (USD)
Quality Data Analyst,$37K-$66K (Glassdoor est.),3.8,"Visiting Nurse Service of New York
3.8","New York, NY","New York, NY",10000+ employees,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$37K-$66K (Glassdoor est.),3.4,"Squarespace
3.4","New York, NY","New York, NY",1001 to 5000 employees,Internet,Information Technology,Unknown / Non-Applicable
Data Analyst,$37K-$66K (Glassdoor est.),4.1,"Celerity
4.1","New York, NY","McLean, VA",201 to 500 employees,IT Services,Information Technology,$50 to $100 million (USD)
Reporting Data Analyst,$37K-$66K (Glassdoor est.),3.9,"FanDuel
3.9","New York, NY","New York, NY",501 to 1000 employees,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD)
Data Analyst,$37K-$66K (Glassdoor est.),3.9,"Point72
3.9","New York, NY","Stamford, CT",1001 to 5000 employees,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Business/Data Analyst (FP&A),$37K-$66K (Glassdoor est.),4.4,"Two Sigma
4.4","New York, NY","New York, NY",1001 to 5000 employees,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Data Science Analyst,$37K-$66K (Glassdoor est.),3.7,"GNY Insurance Companies
3.7","New York, NY","New York, NY",201 to 500 employees,Insurance Carriers,Insurance,$100 to $500 million (USD)
Data Analyst,$37K-$66K (Glassdoor est.),4,"DMGT
4.0","New York, NY","London, United Kingdom",5001 to 10000 employees,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD)
"Data Analyst, Merchant Health",$37K-$66K (Glassdoor est.),4.4,"Riskified
4.4","New York, NY","New York, NY",501 to 1000 employees,Research & Development,Business Services,Unknown / Non-Applicable
Data Analyst,$37K-$66K (Glassdoor est.),4,"NYU Langone Health
4.0","New York, NY","New York, NY",10000+ employees,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
Data Analyst,$37K-$66K (Glassdoor est.),-1,BulbHead,"Fairfield, NJ",-1,1 to 50 employees,-1,-1,Unknown / Non-Applicable
DATA ANALYST,$37K-$66K (Glassdoor est.),3.7,"Montefiore Medical
3.7","New York, NY","Bronx, NY",10000+ employees,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
Senior Data Analyst,$37K-$66K (Glassdoor est.),3,"Known
3.0","New York, NY","New York, NY",201 to 500 employees,Advertising & Marketing,Business Services,$100 to $500 million (USD)
Investment Advisory Data Analyst,$37K-$66K (Glassdoor est.),3.4,"Advisor Group
3.4","Jersey City, NJ","Phoenix, AZ",1001 to 5000 employees,Brokerage Services,Finance,$1 to $5 million (USD)
Sustainability Data Analyst,$37K-$66K (Glassdoor est.),3.6,"CodeGreen Solutions
3.6","New York, NY","New York, NY",1 to 50 employees,Building & Personnel Services,Business Services,Unknown / Non-Applicable
Data Analyst,$37K-$66K (Glassdoor est.),3.8,"Undertone
3.8","New York, NY","New York, NY",201 to 500 employees,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Clinical Data Analyst,$37K-$66K (Glassdoor est.),3.8,"NYSTEC
3.8","New York, NY","Rome, NY",51 to 200 employees,Consulting,Business Services,$25 to $50 million (USD)
DATA PROGRAMMER/ANALYST,$37K-$66K (Glassdoor est.),3.9,"Education Development Center, Inc.
3.9","New York, NY","Waltham, MA",501 to 1000 employees,Research & Development,Business Services,$100 to $500 million (USD)
Data Analyst,$37K-$66K (Glassdoor est.),4.9,"Teachers Pay Teachers
4.9","New York, NY","New York, NY",51 to 200 employees,Internet,Information Technology,Unknown / Non-Applicable
"Product Analyst, Data Science",$37K-$66K (Glassdoor est.),4.4,"Google
4.4","New York, NY","Mountain View, CA",10000+ employees,Internet,Information Technology,$10+ billion (USD)
Data Science Analyst,$37K-$66K (Glassdoor est.),-1,MUSIC & Entertainment,"New York, NY","Marina del Rey, CA",Unknown,-1,-1,Unknown / Non-Applicable
Data Analyst - Intex Developer,$37K-$66K (Glassdoor est.),3.3,"Macquarie Group
3.3","New York, NY","Sydney, Australia",10000+ employees,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD)
Data Analyst,$37K-$66K (Glassdoor est.),3.5,"Andiamo
3.5","New York, NY","Warren, MI",201 to 500 employees,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD)
Entry Level / Jr. Data Analyst,$37K-$66K (Glassdoor est.),3.8,"Dash Technologies Inc
3.8","New York, NY","Columbus, OH",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Data Analyst,$37K-$66K (Glassdoor est.),4,"Hearst Communications
4.0","New York, NY","San Francisco, CA",1 to 50 employees,Advertising & Marketing,Business Services,Less than $1 million (USD)
Data + Business Intelligence Analyst,$37K-$66K (Glassdoor est.),5,"Duolingo
5.0","New York, NY","Pittsburgh, PA",201 to 500 employees,Internet,Information Technology,$10 to $25 million (USD)
"Data Analyst, Product",$37K-$66K (Glassdoor est.),4.8,"Ro
4.8","New York, NY","New York, NY",51 to 200 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Analyst Entry Level,$37K-$66K (Glassdoor est.),3.7,"Endai
3.7","New York, NY","New York, NY",1 to 50 employees,Advertising & Marketing,Business Services,$1 to $5 million (USD)
Data Analyst,$37K-$66K (Glassdoor est.),4.7,"BlueLabs
4.7","New York, NY","Washington, DC",1 to 50 employees,Research & Development,Business Services,Unknown / Non-Applicable
Data Analyst,$46K-$87K (Glassdoor est.),3.6,"Revel
3.6","Brooklyn, NY","Seattle, WA",51 to 200 employees,Consulting,Business Services,$25 to $50 million (USD)
Data Analyst,$46K-$87K (Glassdoor est.),3.6,"NALLAS CORPORATION
3.6","Jersey City, NJ","Newtown, PA",1 to 50 employees,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)
Data Analyst,$46K-$87K (Glassdoor est.),3.5,"Pozent
3.5","New York, NY","Piscataway, NJ",1 to 50 employees,-1,-1,Less than $1 million (USD)
"Data Science Analyst, Capital Markets",$46K-$87K (Glassdoor est.),3.2,"SoFi
3.2","New York, NY","San Francisco, CA",1001 to 5000 employees,Lending,Finance,Unknown / Non-Applicable
Data Analyst (Games),$46K-$87K (Glassdoor est.),-1,Carry1st,"New York, NY",-1,-1,-1,-1,-1
Analyst/Associate Global Markets Credit Data Analyst,$46K-$87K (Glassdoor est.),3.7,"Bank of America
3.7","New York, NY","Charlotte, NC",10000+ employees,Banks & Credit Unions,Finance,$10+ billion (USD)
Data Business Analyst,$46K-$87K (Glassdoor est.),-1,Clear Street,"New York, NY","New York, NY",51 to 200 employees,-1,-1,$1 to $5 million (USD)
Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,$46K-$87K (Glassdoor est.),3.6,"Nutech Information Systems
3.6","New York, NY","Westmont, IL",1 to 50 employees,Computer Hardware & Software,Information Technology,Less than $1 million (USD)
Data Science Analyst/Engineer,$46K-$87K (Glassdoor est.),4,"NYU Langone Health
4.0","New York, NY","New York, NY",10000+ employees,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
Data Analyst,$46K-$87K (Glassdoor est.),4.6,"The Trevor Project
4.6","New York, NY","West Hollywood, CA",51 to 200 employees,Social Assistance,Non-Profit,$10 to $25 million (USD)
"Business Analyst, Data Platforms",$46K-$87K (Glassdoor est.),-1,Pinto,"New York, NY","New York, NY",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Behavioral Data Analyst,$46K-$87K (Glassdoor est.),-1,AB InBev,"New York, NY","Kyiv, Ukraine",1001 to 5000 employees,-1,-1,Unknown / Non-Applicable
Data Analyst,$46K-$87K (Glassdoor est.),5,"Whip Media Group
5.0","New York, NY","Santa Monica, CA",51 to 200 employees,-1,-1,Unknown / Non-Applicable
Data Analyst -1+ year Contract - NYC,$46K-$87K (Glassdoor est.),4,"Two95 International Inc.
4.0","New York, NY","Cherry Hill, NJ",1 to 50 employees,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Data Analyst,$46K-$87K (Glassdoor est.),3,"Vettery
3.0","New York, NY","New York, NY",201 to 500 employees,Internet,Information Technology,Unknown / Non-Applicable
